time;cwnd1;cwnd2;cwnd3;rtt1;rtt2;rtt3;bytes1;bytes2;bytes3
206;92291.856;1460;1460;0.17999999999999999;0.0;0.0;162715540;0;0
207;95960.981999999989;1460;1460;0.17999999999999999;0.0;0.0;163272040;0;0
208;100114.24399999999;1460;1460;0.19;0.0;0.0;163786540;0;0
209;103876.51800000001;1460;1460;0.19;0.0;0.0;164374540;0;0
210;107942.47199999999;1460;1460;0.17999999999999999;0.0;0.0;164946040;0;0
211;111784.462;1460;1460;0.17999999999999999;0.0;0.0;165570040;0;0
212;115775.22600000001;1460;1460;0.17999999999999999;0.0;0.0;166197040;0;0
213;119704.086;1460;1460;0.17999999999999999;0.0;0.0;166855540;0;0
214;123663.31400000001;1460;1460;0.17999999999999999;0.0;0.0;167530540;0;0
215;127600.058;1460;1460;0.17999999999999999;0.0;0.0;168231040;0;0
216;131548.48199999999;1460;1460;0.17999999999999999;0.0;0.0;168954040;0;0
217;135507.71000000002;1460;1460;0.19;0.0;0.0;169693540;0;0
218;139415.69200000001;1460;1460;0.17999999999999999;0.0;0.0;170469040;0;0
219;143425.144;1460;1460;0.17999999999999999;0.0;0.0;171240040;0;0
220;147296.48000000001;1460;1460;0.17999999999999999;0.0;0.0;172072540;0;0
221;151365.5;1460;1460;0.17999999999999999;0.0;0.0;172881040;0;0
222;155203.84;1460;1460;0.17999999999999999;0.0;0.0;173767540;0;0
223;159284.54000000001;1460;1460;0.19;0.0;0.0;174615040;0;0
224;163131.63999999998;1460;1460;0.17999999999999999;0.0;0.0;175539040;0;0
225;167159.78;1460;1460;0.17999999999999999;0.0;0.0;176440540;0;0
226;171053.60000000001;1460;1460;0.17999999999999999;0.0;0.0;177397540;0;0
227;175070.06;1460;1460;0.17999999999999999;0.0;0.0;178353040;0;0
228;178994.54000000001;1460;1460;0.17999999999999999;0.0;0.0;179353540;0;0
229;182987.64000000001;1460;1460;0.17999999999999999;0.0;0.0;180358540;0;0
230;186929.63999999998;1460;1460;0.19;0.0;0.0;181398040;0;0
231;190924.20000000001;1460;1460;0.19;0.0;0.0;182446540;0;0
232;194847.22;1460;1460;0.17999999999999999;0.0;0.0;183535540;0;0
233;198853.45999999999;1460;1460;0.17999999999999999;0.0;0.0;184621540;0;0
234;202770.63999999998;1460;1460;0.17999999999999999;0.0;0.0;185752540;0;0
235;206768.12000000002;1460;1460;0.17999999999999999;0.0;0.0;186892540;0;0
236;210710.12;1460;1460;0.19;0.0;0.0;188061040;0;0
237;214688.62;1460;1460;0.19;0.0;0.0;189250540;0;0
238;218643.76000000001;1460;1460;0.19;0.0;0.0;190461040;0;0
239;111230.68400000001;1460;1460;0.17999999999999999;0.0;0.0;191533540;0;0
240;114367.78600000001;1460;1460;0.17999999999999999;0.0;0.0;192337540;0;0
241;118451.55200000001;1460;1460;0.17999999999999999;0.0;0.0;192960040;0;0
242;122224.776;1460;1460;0.17999999999999999;0.0;0.0;193662040;0;0
243;126375.118;1460;1460;0.17999999999999999;0.0;0.0;194323540;0;0
244;130131.55200000001;1460;1460;0.19;0.0;0.0;195078040;0;0
245;134291.38399999999;1460;1460;0.17999999999999999;0.0;0.0;195775540;0;0
246;138048.54799999998;1460;1460;0.17999999999999999;0.0;0.0;196570540;0;0
247;142171.734;1460;1460;0.17999999999999999;0.0;0.0;197311540;0;0
248;145930.50399999999;1460;1460;0.17999999999999999;0.0;0.0;198150040;0;0
249;150035.44;1460;1460;0.17999999999999999;0.0;0.0;198937540;0;0
250;153824.13999999998;1460;1460;0.17999999999999999;0.0;0.0;199816540;0;0
251;157913.60000000001;1460;1460;0.17999999999999999;0.0;0.0;200653540;0;0
252;161741.72;1460;1460;0.19;0.0;0.0;201571540;0;0
253;165801.98000000001;1460;1460;0.17999999999999999;0.0;0.0;202461040;0;0
254;169678.28;1460;1460;0.17999999999999999;0.0;0.0;203418040;0;0
255;173700.57999999999;1460;1460;0.17999999999999999;0.0;0.0;204358540;0;0
256;177609.0;1460;1460;0.17999999999999999;0.0;0.0;205356040;0;0
257;181607.94;1460;1460;0.17999999999999999;0.0;0.0;206350540;0;0
258;185555.78;1460;1460;0.19;0.0;0.0;207382540;0;0
259;189545.95999999999;1460;1460;0.17999999999999999;0.0;0.0;208428040;0;0
260;193508.39999999999;1460;1460;0.17999999999999999;0.0;0.0;209503540;0;0
261;197476.68000000002;1460;1460;0.17999999999999999;0.0;0.0;210600040;0;0
262;201452.25999999998;1460;1460;0.17999999999999999;0.0;0.0;211713040;0;0
263;205423.45999999999;1460;1460;0.17999999999999999;0.0;0.0;212851540;0;0
264;209380.06;1460;1460;0.19;0.0;0.0;214015540;0;0
265;213354.18000000002;1460;1460;0.17999999999999999;0.0;0.0;215194540;0;0
266;217313.70000000001;1460;1460;0.17999999999999999;0.0;0.0;216397540;0;0
267;221280.52000000002;1460;1460;0.17999999999999999;0.0;0.0;217623040;0;0
268;112151.65199999999;1460;1460;0.19;0.0;0.0;218533540;0;0
269;115393.144;1460;1460;0.17999999999999999;0.0;0.0;219378040;0;0
270;119352.518;1460;1460;0.17999999999999999;0.0;0.0;220026040;0;0
271;123236.70199999999;1460;1460;0.19;0.0;0.0;220710040;0;0
272;127270.24400000001;1460;1460;0.17999999999999999;0.0;0.0;221392540;0;0
273;131114.86199999999;1460;1460;0.17999999999999999;0.0;0.0;222133540;0;0
274;135197.16800000001;1460;1460;0.19;0.0;0.0;222853540;0;0
275;139021.92999999999;1460;1460;0.17999999999999999;0.0;0.0;223648540;0;0
276;143131.976;1460;1460;0.19;0.0;0.0;224403040;0;0
277;146924.17999999999;1460;1460;0.17999999999999999;0.0;0.0;225243040;0;0
278;151031.16;1460;1460;0.19;0.0;0.0;226045540;0;0
279;154850.51999999999;1460;1460;0.17999999999999999;0.0;0.0;226927540;0;0
280;158925.38;1460;1460;0.17999999999999999;0.0;0.0;227772040;0;0
281;162743.28;1460;1460;0.17999999999999999;0.0;0.0;228696040;0;0
282;166818.14000000001;1460;1460;0.17999999999999999;0.0;0.0;229584040;0;0
283;170646.26000000001;1460;1460;0.19;0.0;0.0;230551540;0;0
284;174707.97999999998;1460;1460;0.17999999999999999;0.0;0.0;231492040;0;0
285;178581.36000000002;1460;1460;0.19;0.0;0.0;232495540;0;0
286;182594.89999999999;1460;1460;0.17999999999999999;0.0;0.0;233490040;0;0
287;186522.29999999999;1460;1460;0.17999999999999999;0.0;0.0;234532540;0;0
288;190513.94;1460;1460;0.17999999999999999;0.0;0.0;235576540;0;0
289;194455.94;1460;1460;0.17999999999999999;0.0;0.0;236659540;0;0
290;198438.82000000001;1460;1460;0.17999999999999999;0.0;0.0;237754540;0;0
291;202405.63999999998;1460;1460;0.17999999999999999;0.0;0.0;238875040;0;0
292;206357.86000000002;1460;1460;0.19;0.0;0.0;240024040;0;0
293;210337.82000000001;1460;1460;0.17999999999999999;0.0;0.0;241185040;0;0
294;214303.17999999999;1460;1460;0.19;0.0;0.0;242373040;0;0
295;218275.84;1460;1460;0.17999999999999999;0.0;0.0;243583540;0;0
296;111433.186;1460;1460;0.17999999999999999;0.0;0.0;244470040;0;0
297;115140.126;1460;1460;0.17999999999999999;0.0;0.0;245137540;0;0
298;119340.39999999999;1460;1460;0.19;0.0;0.0;245748040;0;0
299;123017.118;1460;1460;0.19;0.0;0.0;246469540;0;0
